omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,MACRO,OLD,12345,1320,3072,6.451200e+07,1480,63000.000000,2175.906410,18.8545,43.8795,job.378255.out
16,3,16,44,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,1461,66000.000000,2166.431620,19.584,45.5774,job.378256.out
16,3,16,46,20,20,20,23,10,10,10,MACRO,OLD,12345,1320,3072,7.065600e+07,1437,69000.000000,2290.093373,19.0505,44.3356,job.378257.out
16,3,16,50,20,20,20,25,10,10,10,MACRO,OLD,12345,1320,3072,7.680000e+07,1376,75000.000000,2193.188392,20.7041,48.1841,job.378259.out
16,3,16,48,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,1272,72000.000000,2099.409413,19.1944,44.6707,job.378258.out
16,3,16,52,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,1342,78000.000000,2187.743550,21.0525,48.9949,job.378260.out
16,3,16,54,20,20,20,27,10,10,10,MACRO,OLD,12345,1320,3072,8.294400e+07,1262,81000.000000,2130.735935,21.109,49.1264,job.378261.out
16,3,16,56,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,1262,84000.000000,2186.414507,21.3333,49.6485,job.378262.out
16,3,16,58,20,20,20,29,10,10,10,MACRO,OLD,12345,1320,3072,8.908800e+07,1244,87000.000000,2194.672114,21.6981,50.4975,job.378263.out
16,3,16,60,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,1180,90000.000000,2147.418111,21.7601,50.6417,job.378264.out
16,3,16,62,20,20,20,31,10,10,10,MACRO,OLD,12345,1320,3072,9.523200e+07,1167,93000.000000,2215.691164,21.5525,50.1585,job.378265.out
16,3,16,64,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,1133,96000.000000,2187.138545,21.8815,50.9243,job.378266.out
16,3,16,66,20,20,20,33,10,10,10,MACRO,OLD,12345,1320,3072,1.013760e+08,1076,99000.000000,2311.430509,20.2777,47.1918,job.378267.out
16,3,16,68,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,1063,102000.000000,2264.142693,21.0709,49.0376,job.378268.out
16,3,16,70,20,20,20,35,10,10,10,MACRO,OLD,12345,1320,3072,1.075200e+08,996,105000.000000,2207.519108,20.8448,48.5114,job.378269.out
16,3,16,72,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,926,108000.000000,2059.021638,21.3711,49.7363,job.378270.out
16,3,16,74,20,20,20,37,10,10,10,MACRO,OLD,12345,1320,3072,1.136640e+08,882,111000.000000,2208.750798,19.5028,45.3884,job.378271.out
16,3,16,76,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,938,114000.000000,2250.123951,20.91,48.6633,job.378272.out
16,3,16,78,20,20,20,39,10,10,10,MACRO,OLD,12345,1320,3072,1.198080e+08,942,117000.000000,2504.473472,19.363,45.063,job.378273.out
16,3,16,80,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,964,120000.000000,2371.310181,21.4646,49.954,job.378274.out
16,3,16,82,20,20,20,41,10,10,10,MACRO,OLD,12345,1320,3072,1.259520e+08,741,123000.000000,2080.519235,19.2754,44.8592,job.378275.out
16,3,16,86,20,20,20,43,10,10,10,MACRO,OLD,12345,1320,3072,1.320960e+08,690,129000.000000,2130.215519,18.3852,42.7873,job.378277.out
16,3,16,84,20,20,20,42,10,10,10,MACRO,OLD,12345,1320,3072,1.290240e+08,921,126000.000000,2207.849929,23.1267,53.8221,job.378276.out
16,3,16,88,20,20,20,44,10,10,10,MACRO,OLD,12345,1320,3072,1.351680e+08,855,132000.000000,2203.127281,22.54,52.4566,job.378278.out
16,3,16,90,20,20,20,45,10,10,10,MACRO,OLD,12345,1320,3072,1.382400e+08,830,135000.000000,2195.042369,22.4606,52.272,job.378279.out
16,3,16,92,20,20,20,46,10,10,10,MACRO,OLD,12345,1320,3072,1.413120e+08,810,138000.000000,2231.085737,22.0445,51.3036,job.378280.out
16,3,16,94,20,20,20,47,10,10,10,MACRO,OLD,12345,1320,3072,1.443840e+08,770,141000.000000,2199.540455,21.7185,50.545,job.378281.out
16,3,16,96,20,20,20,48,10,10,10,MACRO,OLD,12345,1320,3072,1.474560e+08,748,144000.000000,2432.980840,19.4795,45.3341,job.378282.out
16,3,16,98,20,20,20,49,10,10,10,MACRO,OLD,12345,1320,3072,1.505280e+08,726,147000.000000,2195.137747,21.3917,49.7843,job.378283.out
16,3,16,100,20,20,20,50,10,10,10,MACRO,OLD,12345,1320,3072,1.536000e+08,699,150000.000000,2183.883751,21.1248,49.1631,job.378284.out
16,3,16,102,20,20,20,51,10,10,10,MACRO,OLD,12345,1320,3072,1.566720e+08,700,153000.000000,2228.998561,21.1413,49.2016,job.378285.out
16,3,16,104,20,20,20,52,10,10,10,MACRO,OLD,12345,1320,3072,1.597440e+08,674,156000.000000,2192.220276,21.1034,49.1134,job.378286.out
16,3,16,106,20,20,20,53,10,10,10,MACRO,OLD,12345,1320,3072,1.628160e+08,643,159000.000000,2180.725007,20.6281,48.0073,job.378287.out
16,3,16,108,20,20,20,54,10,10,10,MACRO,OLD,12345,1320,3072,1.658880e+08,634,162000.000000,2192.482688,20.612,47.9698,job.378288.out
16,3,16,110,20,20,20,55,10,10,10,MACRO,OLD,12345,1320,3072,1.689600e+08,578,165000.000000,2033.256777,20.6382,48.0308,job.378289.out
16,3,16,112,20,20,20,56,10,10,10,MACRO,OLD,12345,1320,3072,1.720320e+08,617,168000.000000,2278.530697,20.0167,46.5843,job.378290.out
16,3,16,114,20,20,20,57,10,10,10,MACRO,OLD,12345,1320,3072,1.751040e+08,578,171000.000000,2165.042295,20.0868,46.7474,job.378291.out
