omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,MACRO,OLD,12345,1320,3072,6.451200e+07,1584,63000.000000,2171.643556,20.219,47.0551,job.377423.out
16,3,16,44,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,1479,66000.000000,2250.225722,19.087,44.4208,job.377424.out
16,3,16,46,20,20,20,23,10,10,10,MACRO,OLD,12345,1320,3072,7.065600e+07,1494,69000.000000,2229.046031,20.3485,47.3566,job.377425.out
16,3,16,48,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,1506,72000.000000,2444.297695,19.5189,45.4259,job.377426.out
16,3,16,50,20,20,20,25,10,10,10,MACRO,OLD,12345,1320,3072,7.680000e+07,1429,75000.000000,2205.039437,21.386,49.7711,job.377427.out
16,3,16,52,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,1344,78000.000000,2023.244299,22.7981,53.0573,job.377428.out
16,3,16,54,20,20,20,27,10,10,10,MACRO,OLD,12345,1320,3072,8.294400e+07,1277,81000.000000,2120.224261,21.4658,49.9567,job.377429.out
16,3,16,56,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,1399,84000.000000,2279.602337,22.6825,52.7883,job.377430.out
16,3,16,58,20,20,20,29,10,10,10,MACRO,OLD,12345,1320,3072,8.908800e+07,1200,87000.000000,2123.081189,21.6365,50.354,job.377431.out
16,3,16,60,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,1233,90000.000000,2145.666256,22.756,52.9594,job.377432.out
16,3,16,62,20,20,20,31,10,10,10,MACRO,OLD,12345,1320,3072,9.523200e+07,1134,93000.000000,2105.570168,22.0383,51.2892,job.377433.out
16,3,16,64,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,1139,96000.000000,2175.536025,22.1147,51.467,job.377434.out
16,3,16,66,20,20,20,33,10,10,10,MACRO,OLD,12345,1320,3072,1.013760e+08,1096,99000.000000,2506.121282,19.0501,44.3347,job.377435.out
16,3,16,68,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,1061,102000.000000,2184.742872,21.7956,50.7242,job.377436.out
16,3,16,70,20,20,20,35,10,10,10,MACRO,OLD,12345,1320,3072,1.075200e+08,991,105000.000000,2199.576943,20.815,48.4422,job.377437.out
16,3,16,72,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,956,108000.000000,2160.330878,21.0288,48.9397,job.377438.out
16,3,16,74,20,20,20,37,10,10,10,MACRO,OLD,12345,1320,3072,1.136640e+08,817,111000.000000,2026.462325,19.6906,45.8254,job.377439.out
