omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,44,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,1696,66000.000000,2115.423617,23.2823,54.1842,job.381842.out
16,3,16,42,20,20,20,21,10,10,10,VECT,OLD,12345,1320,3072,6.451200e+07,1824,63000.000000,2217.566736,22.8003,53.0626,job.381841.out
16,3,16,46,20,20,20,23,10,10,10,VECT,OLD,12345,1320,3072,7.065600e+07,1562,69000.000000,2063.767990,22.9785,53.4773,job.381843.out
16,3,16,52,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,1592,78000.000000,2748.757144,19.8771,46.2595,job.381846.out
16,3,16,48,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,1747,72000.000000,2567.759472,21.5538,50.1616,job.381844.out
16,3,16,50,20,20,20,25,10,10,10,VECT,OLD,12345,1320,3072,7.680000e+07,1586,75000.000000,2498.510148,20.9477,48.751,job.381845.out
16,3,16,54,20,20,20,27,10,10,10,VECT,OLD,12345,1320,3072,8.294400e+07,1526,81000.000000,2201.182284,24.7079,57.5021,job.381847.out
16,3,16,56,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,1528,84000.000000,2423.593645,23.3021,54.2304,job.381848.out
16,3,16,58,20,20,20,29,10,10,10,VECT,OLD,12345,1320,3072,8.908800e+07,1477,87000.000000,2192.083770,25.7926,60.0264,job.381849.out
16,3,16,62,20,20,20,31,10,10,10,VECT,OLD,12345,1320,3072,9.523200e+07,1376,93000.000000,2172.302842,25.9199,60.3227,job.381851.out
16,3,16,60,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,1500,90000.000000,2323.473796,25.5652,59.4971,job.381850.out
16,3,16,64,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,1318,96000.000000,2152.041903,25.8695,60.2055,job.381852.out
16,3,16,66,20,20,20,33,10,10,10,VECT,OLD,12345,1320,3072,1.013760e+08,1259,99000.000000,2160.847568,25.3799,59.0659,job.381853.out
16,3,16,72,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,1126,108000.000000,2181.649801,24.5262,57.0791,job.381856.out
16,3,16,68,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,1274,102000.000000,2251.683376,25.3931,59.0966,job.381854.out
16,3,16,70,20,20,20,35,10,10,10,VECT,OLD,12345,1320,3072,1.075200e+08,1191,105000.000000,2403.955285,22.889,53.269,job.381855.out
16,3,16,76,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,1275,114000.000000,2606.010500,24.541,57.1135,job.381858.out
16,3,16,74,20,20,20,37,10,10,10,VECT,OLD,12345,1320,3072,1.136640e+08,1325,111000.000000,2650.743184,24.4132,56.8161,job.381857.out
16,3,16,78,20,20,20,39,10,10,10,VECT,OLD,12345,1320,3072,1.198080e+08,988,117000.000000,2127.024324,23.9124,55.6507,job.381859.out
16,3,16,80,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,1210,120000.000000,2234.857910,28.5871,66.5299,job.381860.out
16,3,16,82,20,20,20,41,10,10,10,VECT,OLD,12345,1320,3072,1.259520e+08,1090,123000.000000,2136.845713,27.6065,64.2478,job.381861.out
16,3,16,86,20,20,20,43,10,10,10,VECT,OLD,12345,1320,3072,1.320960e+08,1070,129000.000000,2215.539440,27.4124,63.7961,job.381863.out
16,3,16,84,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,1124,126000.000000,2362.556704,26.3759,61.3839,job.381862.out
16,3,16,88,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,1028,132000.000000,2236.093358,26.7011,62.1408,job.381864.out
16,3,16,90,20,20,20,45,10,10,10,VECT,OLD,12345,1320,3072,1.382400e+08,995,135000.000000,2182.106177,27.0853,63.0349,job.381865.out
16,3,16,92,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,945,138000.000000,2178.949387,26.334,61.2863,job.381866.out
16,3,16,94,20,20,20,47,10,10,10,VECT,OLD,12345,1320,3072,1.443840e+08,849,141000.000000,2034.479601,25.8896,60.2523,job.381867.out
16,3,16,96,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,879,144000.000000,2172.643671,25.634,59.6572,job.381868.out
16,3,16,100,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,818,150000.000000,2197.698460,24.5657,57.1711,job.381870.out
16,3,16,98,20,20,20,49,10,10,10,VECT,OLD,12345,1320,3072,1.505280e+08,854,147000.000000,2218.406597,24.8993,57.9474,job.381869.out
16,3,16,102,20,20,20,51,10,10,10,VECT,OLD,12345,1320,3072,1.566720e+08,811,153000.000000,2206.491821,24.7436,57.5851,job.381871.out
16,3,16,104,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,802,156000.000000,2262.686992,24.3292,56.6206,job.381872.out
16,3,16,106,20,20,20,53,10,10,10,VECT,OLD,12345,1320,3072,1.628160e+08,758,159000.000000,2188.005291,24.2365,56.405,job.381873.out
16,3,16,110,20,20,20,55,10,10,10,VECT,OLD,12345,1320,3072,1.689600e+08,712,165000.000000,2213.450653,23.3532,54.3493,job.381875.out
16,3,16,108,20,20,20,54,10,10,10,VECT,OLD,12345,1320,3072,1.658880e+08,743,162000.000000,2292.253333,23.1044,53.7701,job.381874.out
16,3,16,112,20,20,20,56,10,10,10,VECT,OLD,12345,1320,3072,1.720320e+08,687,168000.000000,2208.153418,22.998,53.5225,job.381876.out
