omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,44,20,20,20,22,10,10,10,AVX2,NEW,12345,1320,3072,6.758400e+07,1665,66000.000000,2228.055283,21.7013,50.5047,job.380749.out
16,3,16,42,20,20,20,21,10,10,10,AVX2,NEW,12345,1320,3072,6.451200e+07,1694,63000.000000,2225.273493,21.102,49.1101,job.380748.out
16,3,16,46,20,20,20,23,10,10,10,AVX2,NEW,12345,1320,3072,7.065600e+07,1524,69000.000000,2280.817285,20.286,47.211,job.380750.out
16,3,16,52,20,20,20,26,10,10,10,AVX2,NEW,12345,1320,3072,7.987200e+07,1399,78000.000000,2198.216742,21.8421,50.8325,job.380753.out
16,3,16,50,20,20,20,25,10,10,10,AVX2,NEW,12345,1320,3072,7.680000e+07,1483,75000.000000,2248.197789,21.7681,50.6603,job.380752.out
16,3,16,48,20,20,20,24,10,10,10,AVX2,NEW,12345,1320,3072,7.372800e+07,1518,72000.000000,2209.920742,21.7611,50.6439,job.380751.out
16,3,16,54,20,20,20,27,10,10,10,AVX2,NEW,12345,1320,3072,8.294400e+07,1337,81000.000000,2341.727049,20.3485,47.3566,job.380754.out
16,3,16,56,20,20,20,28,10,10,10,AVX2,NEW,12345,1320,3072,8.601600e+07,1230,84000.000000,2293.645344,19.8203,46.1273,job.380755.out
16,3,16,58,20,20,20,29,10,10,10,AVX2,NEW,12345,1320,3072,8.908800e+07,1288,87000.000000,2222.228886,22.187,51.6352,job.380756.out
16,3,16,60,20,20,20,30,10,10,10,AVX2,NEW,12345,1320,3072,9.216000e+07,1231,90000.000000,2175.511229,22.4074,52.1482,job.380757.out
16,3,16,62,20,20,20,31,10,10,10,AVX2,NEW,12345,1320,3072,9.523200e+07,1166,93000.000000,2185.520931,21.8313,50.8073,job.380758.out
16,3,16,64,20,20,20,32,10,10,10,AVX2,NEW,12345,1320,3072,9.830400e+07,1155,96000.000000,2194.950246,22.227,51.7283,job.380759.out
16,3,16,66,20,20,20,33,10,10,10,AVX2,NEW,12345,1320,3072,1.013760e+08,1109,99000.000000,2250.180838,21.4685,49.9631,job.380760.out
16,3,16,68,20,20,20,34,10,10,10,AVX2,NEW,12345,1320,3072,1.044480e+08,1096,102000.000000,2208.504426,22.2723,51.8337,job.380761.out
16,3,16,70,20,20,20,35,10,10,10,AVX2,NEW,12345,1320,3072,1.075200e+08,1102,105000.000000,2214.779925,22.9876,53.4983,job.380762.out
16,3,16,72,20,20,20,36,10,10,10,AVX2,NEW,12345,1320,3072,1.105920e+08,988,108000.000000,2034.545955,23.0763,53.7048,job.380763.out
16,3,16,74,20,20,20,37,10,10,10,AVX2,NEW,12345,1320,3072,1.136640e+08,947,111000.000000,2037.595905,22.699,52.8269,job.380764.out
16,3,16,76,20,20,20,38,10,10,10,AVX2,NEW,12345,1320,3072,1.167360e+08,1005,114000.000000,2229.152240,22.6143,52.6297,job.380765.out
16,3,16,78,20,20,20,39,10,10,10,AVX2,NEW,12345,1320,3072,1.198080e+08,973,117000.000000,2207.615780,22.6897,52.805,job.380766.out
16,3,16,80,20,20,20,40,10,10,10,AVX2,NEW,12345,1320,3072,1.228800e+08,981,120000.000000,2198.688837,23.558,54.826,job.380767.out
16,3,16,82,20,20,20,41,10,10,10,AVX2,NEW,12345,1320,3072,1.259520e+08,957,123000.000000,2239.710262,23.1248,53.8177,job.380768.out
16,3,16,84,20,20,20,42,10,10,10,AVX2,NEW,12345,1320,3072,1.290240e+08,890,126000.000000,2090.766554,23.5998,54.9231,job.380769.out
16,3,16,86,20,20,20,43,10,10,10,AVX2,NEW,12345,1320,3072,1.320960e+08,875,129000.000000,2146.403608,23.1387,53.8501,job.380770.out
16,3,16,88,20,20,20,44,10,10,10,AVX2,NEW,12345,1320,3072,1.351680e+08,900,132000.000000,2269.107103,23.0364,53.6119,job.380771.out
16,3,16,90,20,20,20,45,10,10,10,AVX2,NEW,12345,1320,3072,1.382400e+08,864,135000.000000,2178.029923,23.5633,54.8383,job.380772.out
16,3,16,92,20,20,20,46,10,10,10,AVX2,NEW,12345,1320,3072,1.413120e+08,862,138000.000000,2221.944953,23.5562,54.8218,job.380773.out
16,3,16,94,20,20,20,47,10,10,10,AVX2,NEW,12345,1320,3072,1.443840e+08,804,141000.000000,2160.884347,23.0832,53.7209,job.380774.out
16,3,16,96,20,20,20,48,10,10,10,AVX2,NEW,12345,1320,3072,1.474560e+08,755,144000.000000,2212.181372,21.6243,50.3256,job.380775.out
16,3,16,98,20,20,20,49,10,10,10,AVX2,NEW,12345,1320,3072,1.505280e+08,759,147000.000000,2180.224268,22.517,52.4032,job.380776.out
16,3,16,100,20,20,20,50,10,10,10,AVX2,NEW,12345,1320,3072,1.536000e+08,779,150000.000000,2215.240940,23.2092,54.0142,job.380777.out
16,3,16,102,20,20,20,51,10,10,10,AVX2,NEW,12345,1320,3072,1.566720e+08,786,153000.000000,2345.265455,22.5618,52.5076,job.380778.out
16,3,16,104,20,20,20,52,10,10,10,AVX2,NEW,12345,1320,3072,1.597440e+08,719,156000.000000,2177.827062,22.6612,52.7388,job.380779.out
16,3,16,106,20,20,20,53,10,10,10,AVX2,NEW,12345,1320,3072,1.628160e+08,681,159000.000000,2193.229579,21.7227,50.5545,job.380780.out
16,3,16,108,20,20,20,54,10,10,10,AVX2,NEW,12345,1320,3072,1.658880e+08,708,162000.000000,2277.399315,22.1596,51.5714,job.380781.out
16,3,16,110,20,20,20,55,10,10,10,AVX2,NEW,12345,1320,3072,1.689600e+08,663,165000.000000,2277.992829,21.1299,49.1751,job.380782.out
16,3,16,112,20,20,20,56,10,10,10,AVX2,NEW,12345,1320,3072,1.720320e+08,715,168000.000000,2350.047153,22.4901,52.3406,job.380783.out
16,3,16,114,20,20,20,57,10,10,10,AVX2,NEW,12345,1320,3072,1.751040e+08,624,171000.000000,2175.228037,21.5838,50.2315,job.380784.out
16,3,16,116,20,20,20,58,10,10,10,AVX2,NEW,12345,1320,3072,1.781760e+08,613,174000.000000,2260.584179,20.7607,48.3158,job.380785.out
16,3,16,118,20,20,20,59,10,10,10,AVX2,NEW,12345,1320,3072,1.812480e+08,563,177000.000000,2253.597225,19.4562,45.2799,job.380786.out
16,3,16,120,20,20,20,60,10,10,10,AVX2,NEW,12345,1320,3072,1.843200e+08,553,180000.000000,2036.812025,21.503,50.0434,job.380787.out
16,3,16,122,20,20,20,61,10,10,10,AVX2,NEW,12345,1320,3072,1.873920e+08,556,183000.000000,2231.850962,20.0592,46.6832,job.380788.out
16,3,16,124,20,20,20,62,10,10,10,AVX2,NEW,12345,1320,3072,1.904640e+08,551,186000.000000,2221.504988,20.2988,47.2408,job.380789.out
16,3,16,126,20,20,20,63,10,10,10,AVX2,NEW,12345,1320,3072,1.935360e+08,544,189000.000000,2463.508754,18.3637,42.7372,job.380790.out
16,3,16,128,20,20,20,64,10,10,10,AVX2,NEW,12345,1320,3072,1.966080e+08,575,192000.000000,2314.527047,20.9874,48.8435,job.380791.out
16,3,16,130,20,20,20,65,10,10,10,AVX2,NEW,12345,1320,3072,1.996800e+08,489,195000.000000,2116.425426,19.8241,46.1361,job.380792.out
16,3,16,132,20,20,20,66,10,10,10,AVX2,NEW,12345,1320,3072,2.027520e+08,469,198000.000000,2056.273805,19.8705,46.2442,job.380793.out
16,3,16,134,20,20,20,67,10,10,10,AVX2,NEW,12345,1320,3072,2.058240e+08,459,201000.000000,2322.804180,17.4763,40.6721,job.380794.out
16,3,16,138,20,20,20,69,10,10,10,AVX2,NEW,12345,1320,3072,2.119680e+08,460,207000.000000,2121.299257,19.7505,45.9649,job.380796.out
16,3,16,136,20,20,20,68,10,10,10,AVX2,NEW,12345,1320,3072,2.088960e+08,489,204000.000000,2328.855458,18.8473,43.8628,job.380795.out
16,3,16,142,20,20,20,71,10,10,10,AVX2,NEW,12345,1320,3072,2.181120e+08,439,213000.000000,2150.088189,19.1355,44.5336,job.380798.out
16,3,16,140,20,20,20,70,10,10,10,AVX2,NEW,12345,1320,3072,2.150400e+08,465,210000.000000,2387.493332,17.9963,41.8823,job.380797.out
16,3,16,144,20,20,20,72,10,10,10,AVX2,NEW,12345,1320,3072,2.211840e+08,454,216000.000000,2192.594968,19.679,45.7985,job.380799.out
16,3,16,146,20,20,20,73,10,10,10,AVX2,NEW,12345,1320,3072,2.242560e+08,434,219000.000000,2213.920995,18.8897,43.9614,job.380800.out
16,3,16,148,20,20,20,74,10,10,10,AVX2,NEW,12345,1320,3072,2.273280e+08,418,222000.000000,2201.347493,18.5478,43.1659,job.380801.out
16,3,16,152,20,20,20,76,10,10,10,AVX2,NEW,12345,1320,3072,2.334720e+08,413,228000.000000,2145.937886,19.3073,44.9332,job.380803.out
16,3,16,150,20,20,20,75,10,10,10,AVX2,NEW,12345,1320,3072,2.304000e+08,422,225000.000000,2198.579482,19.0023,44.2235,job.380802.out
16,3,16,154,20,20,20,77,10,10,10,AVX2,NEW,12345,1320,3072,2.365440e+08,400,231000.000000,2234.613943,18.1937,42.3418,job.380804.out
16,3,16,156,20,20,20,78,10,10,10,AVX2,NEW,12345,1320,3072,2.396160e+08,408,234000.000000,2241.783269,18.7385,43.6096,job.380805.out
16,3,16,158,20,20,20,79,10,10,10,AVX2,NEW,12345,1320,3072,2.426880e+08,369,237000.000000,2174.468063,17.696,41.1833,job.380806.out
16,3,16,162,20,20,20,81,10,10,10,AVX2,NEW,12345,1320,3072,2.488320e+08,367,243000.000000,2157.055445,18.1913,42.3361,job.380808.out
16,3,16,160,20,20,20,80,10,10,10,AVX2,NEW,12345,1320,3072,2.457600e+08,391,240000.000000,2189.476510,18.8582,43.8882,job.380807.out
16,3,16,164,20,20,20,82,10,10,10,AVX2,NEW,12345,1320,3072,2.519040e+08,340,246000.000000,2069.888579,17.7795,41.3778,job.380809.out
16,3,16,166,20,20,20,83,10,10,10,AVX2,NEW,12345,1320,3072,2.549760e+08,358,249000.000000,2201.425570,17.8169,41.4647,job.380810.out
16,3,16,168,20,20,20,84,10,10,10,AVX2,NEW,12345,1320,3072,2.580480e+08,347,252000.000000,2158.994913,17.821,41.4742,job.380811.out
16,3,16,170,20,20,20,85,10,10,10,AVX2,NEW,12345,1320,3072,2.611200e+08,355,255000.000000,2412.077898,16.5131,38.4306,job.380812.out
16,3,16,172,20,20,20,86,10,10,10,AVX2,NEW,12345,1320,3072,2.641920e+08,330,258000.000000,2113.680398,17.7234,41.2472,job.380813.out
16,3,16,174,20,20,20,87,10,10,10,AVX2,NEW,12345,1320,3072,2.672640e+08,344,261000.000000,2232.330440,17.6967,41.1851,job.380814.out
16,3,16,176,20,20,20,88,10,10,10,AVX2,NEW,12345,1320,3072,2.703360e+08,339,264000.000000,2269.761721,17.3491,40.376,job.380815.out
16,3,16,178,20,20,20,89,10,10,10,AVX2,NEW,12345,1320,3072,2.734080e+08,324,267000.000000,2203.271311,17.2759,40.2058,job.380816.out
16,3,16,182,20,20,20,91,10,10,10,AVX2,NEW,12345,1320,3072,2.795520e+08,324,273000.000000,2251.195391,17.2881,40.2341,job.380818.out
16,3,16,180,20,20,20,90,10,10,10,AVX2,NEW,12345,1320,3072,2.764800e+08,325,270000.000000,2183.356642,17.6838,41.155,job.380817.out
16,3,16,184,20,20,20,92,10,10,10,AVX2,NEW,12345,1320,3072,2.826240e+08,309,276000.000000,2198.444990,17.0689,39.7239,job.380819.out
16,3,16,186,20,20,20,93,10,10,10,AVX2,NEW,12345,1320,3072,2.856960e+08,311,279000.000000,2231.960717,17.1053,39.8087,job.380820.out
16,3,16,188,20,20,20,94,10,10,10,AVX2,NEW,12345,1320,3072,2.887680e+08,293,282000.000000,2190.673695,16.5956,38.6224,job.380821.out
16,3,16,190,20,20,20,95,10,10,10,AVX2,NEW,12345,1320,3072,2.918400e+08,290,285000.000000,2205.390696,16.4896,38.3758,job.380822.out
16,3,16,194,20,20,20,97,10,10,10,AVX2,NEW,12345,1320,3072,2.979840e+08,287,291000.000000,2152.770620,17.0699,39.7262,job.380824.out
16,3,16,192,20,20,20,96,10,10,10,AVX2,NEW,12345,1320,3072,2.949120e+08,298,288000.000000,2383.521612,15.8432,36.8714,job.380823.out
16,3,16,198,20,20,20,99,10,10,10,AVX2,NEW,12345,1320,3072,3.041280e+08,277,297000.000000,2234.137069,16.2024,37.7074,job.380826.out
16,3,16,196,20,20,20,98,10,10,10,AVX2,NEW,12345,1320,3072,3.010560e+08,287,294000.000000,2404.839604,15.4382,35.9288,job.380825.out
16,3,16,200,20,20,20,100,10,10,10,AVX2,NEW,12345,1320,3072,3.072000e+08,282,300000.000000,2200.482862,16.9163,39.3688,job.380827.out
16,3,16,202,20,20,20,101,10,10,10,AVX2,NEW,12345,1320,3072,3.102720e+08,273,303000.000000,2217.322394,16.4146,38.2011,job.380828.out
16,3,16,204,20,20,20,102,10,10,10,AVX2,NEW,12345,1320,3072,3.133440e+08,271,306000.000000,2200.876150,16.5786,38.5829,job.380829.out
16,3,16,208,20,20,20,104,10,10,10,AVX2,NEW,12345,1320,3072,3.194880e+08,249,312000.000000,2058.640724,16.6045,38.6432,job.380831.out
16,3,16,206,20,20,20,103,10,10,10,AVX2,NEW,12345,1320,3072,3.164160e+08,260,309000.000000,2171.747550,16.277,37.8811,job.380830.out
16,3,16,210,20,20,20,105,10,10,10,AVX2,NEW,12345,1320,3072,3.225600e+08,258,315000.000000,2374.363096,15.0604,35.0496,job.380832.out
16,3,16,212,20,20,20,106,10,10,10,AVX2,NEW,12345,1320,3072,3.256320e+08,250,318000.000000,2149.424144,16.2741,37.8743,job.380833.out
16,3,16,214,20,20,20,107,10,10,10,AVX2,NEW,12345,1320,3072,3.287040e+08,249,321000.000000,2190.067388,16.0583,37.372,job.380834.out
16,3,16,216,20,20,20,108,10,10,10,AVX2,NEW,12345,1320,3072,3.317760e+08,249,324000.000000,2200.637692,16.1305,37.5401,job.380835.out
16,3,16,218,20,20,20,109,10,10,10,AVX2,NEW,12345,1320,3072,3.348480e+08,230,327000.000000,2113.612180,15.6568,36.4376,job.380836.out
16,3,16,220,20,20,20,110,10,10,10,AVX2,NEW,12345,1320,3072,3.379200e+08,237,330000.000000,2170.345701,15.8557,36.9006,job.380837.out
16,3,16,224,20,20,20,112,10,10,10,AVX2,NEW,12345,1320,3072,3.440640e+08,216,336000.000000,2004.609170,15.93,37.0735,job.380839.out
16,3,16,222,20,20,20,111,10,10,10,AVX2,NEW,12345,1320,3072,3.409920e+08,230,333000.000000,2165.992187,15.5585,36.2089,job.380838.out
16,3,16,226,20,20,20,113,10,10,10,AVX2,NEW,12345,1320,3072,3.471360e+08,218,339000.000000,2046.723173,15.8873,36.9741,job.380840.out
16,3,16,228,20,20,20,114,10,10,10,AVX2,NEW,12345,1320,3072,3.502080e+08,217,342000.000000,2151.643786,15.1764,35.3196,job.380841.out
16,3,16,230,20,20,20,115,10,10,10,AVX2,NEW,12345,1320,3072,3.532800e+08,201,345000.000000,2003.966946,15.2257,35.4344,job.380842.out
16,3,16,232,20,20,20,116,10,10,10,AVX2,NEW,12345,1320,3072,3.563520e+08,228,348000.000000,2222.401880,15.7088,36.5588,job.380843.out
16,3,16,234,20,20,20,117,10,10,10,AVX2,NEW,12345,1320,3072,3.594240e+08,214,351000.000000,2107.010078,15.6858,36.5052,job.380844.out
