omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,MACRO,NEW,12345,1320,3072,6.451200e+07,1291,63000.000000,2092.799036,17.0998,39.796,job.377978.out
16,3,16,44,20,20,20,22,10,10,10,MACRO,NEW,12345,1320,3072,6.758400e+07,1268,66000.000000,2079.152473,17.7104,41.217,job.377979.out
16,3,16,46,20,20,20,23,10,10,10,MACRO,NEW,12345,1320,3072,7.065600e+07,1196,69000.000000,2121.873524,17.1125,39.8255,job.377980.out
16,3,16,48,20,20,20,24,10,10,10,MACRO,NEW,12345,1320,3072,7.372800e+07,1166,72000.000000,2075.334632,17.799,41.4231,job.377981.out
16,3,16,50,20,20,20,25,10,10,10,MACRO,NEW,12345,1320,3072,7.680000e+07,1193,75000.000000,2196.113898,17.9267,41.7202,job.377982.out
16,3,16,52,20,20,20,26,10,10,10,MACRO,NEW,12345,1320,3072,7.987200e+07,1078,78000.000000,2093.221368,17.6747,41.1337,job.377983.out
16,3,16,54,20,20,20,27,10,10,10,MACRO,NEW,12345,1320,3072,8.294400e+07,1049,81000.000000,2099.232021,17.8095,41.4477,job.377984.out
16,3,16,56,20,20,20,28,10,10,10,MACRO,NEW,12345,1320,3072,8.601600e+07,1055,84000.000000,2114.637553,18.4395,42.9137,job.377985.out
16,3,16,58,20,20,20,29,10,10,10,MACRO,NEW,12345,1320,3072,8.908800e+07,978,87000.000000,2095.016154,17.87,41.5883,job.377986.out
16,3,16,60,20,20,20,30,10,10,10,MACRO,NEW,12345,1320,3072,9.216000e+07,955,90000.000000,2063.612908,18.3261,42.6499,job.377987.out
16,3,16,62,20,20,20,31,10,10,10,MACRO,NEW,12345,1320,3072,9.523200e+07,946,93000.000000,2084.853354,18.5674,43.2114,job.377988.out
16,3,16,64,20,20,20,32,10,10,10,MACRO,NEW,12345,1320,3072,9.830400e+07,892,96000.000000,2075.734352,18.1517,42.2439,job.377989.out
16,3,16,66,20,20,20,33,10,10,10,MACRO,NEW,12345,1320,3072,1.013760e+08,887,99000.000000,2098.185949,18.4148,42.8563,job.377990.out
16,3,16,68,20,20,20,34,10,10,10,MACRO,NEW,12345,1320,3072,1.044480e+08,885,102000.000000,2162.004217,18.3713,42.755,job.377991.out
16,3,16,70,20,20,20,35,10,10,10,MACRO,NEW,12345,1320,3072,1.075200e+08,843,105000.000000,2081.317704,18.7125,43.549,job.377992.out
16,3,16,72,20,20,20,36,10,10,10,MACRO,NEW,12345,1320,3072,1.105920e+08,805,108000.000000,2068.379759,18.4945,43.0417,job.377993.out
16,3,16,74,20,20,20,37,10,10,10,MACRO,NEW,12345,1320,3072,1.136640e+08,806,111000.000000,2053.265984,19.1719,44.6183,job.377994.out
16,3,16,76,20,20,20,38,10,10,10,MACRO,NEW,12345,1320,3072,1.167360e+08,799,114000.000000,2128.736605,18.8271,43.8157,job.377995.out
16,3,16,78,20,20,20,39,10,10,10,MACRO,NEW,12345,1320,3072,1.198080e+08,782,117000.000000,2128.412808,18.9143,44.0186,job.377996.out
16,3,16,80,20,20,20,40,10,10,10,MACRO,NEW,12345,1320,3072,1.228800e+08,755,120000.000000,2067.374914,19.2824,44.8755,job.377997.out
16,3,16,82,20,20,20,41,10,10,10,MACRO,NEW,12345,1320,3072,1.259520e+08,726,123000.000000,2093.203956,18.7708,43.6848,job.377998.out
16,3,16,84,20,20,20,42,10,10,10,MACRO,NEW,12345,1320,3072,1.290240e+08,686,126000.000000,2034.317166,18.6951,43.5087,job.377999.out
16,3,16,86,20,20,20,43,10,10,10,MACRO,NEW,12345,1320,3072,1.320960e+08,708,129000.000000,2097.624696,19.1579,44.5857,job.378000.out
16,3,16,88,20,20,20,44,10,10,10,MACRO,NEW,12345,1320,3072,1.351680e+08,687,132000.000000,2106.215408,18.9444,44.0888,job.378001.out
16,3,16,90,20,20,20,45,10,10,10,MACRO,NEW,12345,1320,3072,1.382400e+08,642,135000.000000,2028.929852,18.7955,43.7423,job.378002.out
16,3,16,92,20,20,20,46,10,10,10,MACRO,NEW,12345,1320,3072,1.413120e+08,658,138000.000000,2078.796235,19.2197,44.7294,job.378003.out
16,3,16,94,20,20,20,47,10,10,10,MACRO,NEW,12345,1320,3072,1.443840e+08,631,141000.000000,2099.984142,18.6417,43.3843,job.378004.out
16,3,16,96,20,20,20,48,10,10,10,MACRO,NEW,12345,1320,3072,1.474560e+08,585,144000.000000,2002.438108,18.5102,43.0784,job.378005.out
16,3,16,98,20,20,20,49,10,10,10,MACRO,NEW,12345,1320,3072,1.505280e+08,608,147000.000000,2086.937963,18.8436,43.8542,job.378006.out
