omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,VECT,NEW,12345,1320,3072,6.451200e+07,1597,63000.000000,2236.827257,19.7909,46.0588,job.382391.out
16,3,16,44,20,20,20,22,10,10,10,VECT,NEW,12345,1320,3072,6.758400e+07,1469,66000.000000,2455.995824,17.3696,40.4239,job.382392.out
16,3,16,46,20,20,20,23,10,10,10,VECT,NEW,12345,1320,3072,7.065600e+07,1440,69000.000000,2149.296044,20.3408,47.3386,job.382393.out
16,3,16,48,20,20,20,24,10,10,10,VECT,NEW,12345,1320,3072,7.372800e+07,1424,72000.000000,2216.620467,20.3518,47.3643,job.382394.out
16,3,16,52,20,20,20,26,10,10,10,VECT,NEW,12345,1320,3072,7.987200e+07,1228,78000.000000,2094.464008,20.1221,46.8296,job.382396.out
16,3,16,50,20,20,20,25,10,10,10,VECT,NEW,12345,1320,3072,7.680000e+07,1419,75000.000000,2520.700924,18.577,43.2337,job.382395.out
16,3,16,54,20,20,20,27,10,10,10,VECT,NEW,12345,1320,3072,8.294400e+07,1226,81000.000000,2204.555336,19.8202,46.1269,job.382397.out
16,3,16,56,20,20,20,28,10,10,10,VECT,NEW,12345,1320,3072,8.601600e+07,1189,84000.000000,2144.492765,20.4922,47.691,job.382398.out
16,3,16,60,20,20,20,30,10,10,10,VECT,NEW,12345,1320,3072,9.216000e+07,1125,90000.000000,2171.483786,20.5159,47.7462,job.382400.out
16,3,16,58,20,20,20,29,10,10,10,VECT,NEW,12345,1320,3072,8.908800e+07,1230,87000.000000,2254.358994,20.8859,48.6073,job.382399.out
16,3,16,62,20,20,20,31,10,10,10,VECT,NEW,12345,1320,3072,9.523200e+07,1114,93000.000000,2132.160650,21.3797,49.7563,job.382401.out
16,3,16,64,20,20,20,32,10,10,10,VECT,NEW,12345,1320,3072,9.830400e+07,1124,96000.000000,2535.452847,18.7256,43.5795,job.382402.out
16,3,16,66,20,20,20,33,10,10,10,VECT,NEW,12345,1320,3072,1.013760e+08,1061,99000.000000,2191.080819,21.0933,49.0899,job.382403.out
16,3,16,68,20,20,20,34,10,10,10,VECT,NEW,12345,1320,3072,1.044480e+08,1066,102000.000000,2300.702038,20.7946,48.3946,job.382404.out
16,3,16,70,20,20,20,35,10,10,10,VECT,NEW,12345,1320,3072,1.075200e+08,1006,105000.000000,2210.481414,21.0258,48.9328,job.382405.out
16,3,16,72,20,20,20,36,10,10,10,VECT,NEW,12345,1320,3072,1.105920e+08,953,108000.000000,2073.566472,21.8399,50.8275,job.382406.out
16,3,16,74,20,20,20,37,10,10,10,VECT,NEW,12345,1320,3072,1.136640e+08,933,111000.000000,2134.415490,21.349,49.685,job.382407.out
16,3,16,76,20,20,20,38,10,10,10,VECT,NEW,12345,1320,3072,1.167360e+08,937,114000.000000,2164.912532,21.7098,50.5247,job.382408.out
16,3,16,78,20,20,20,39,10,10,10,VECT,NEW,12345,1320,3072,1.198080e+08,951,117000.000000,2251.405164,21.7453,50.6072,job.382409.out
