omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,MACRO,OLD,12345,1320,3072,6.451200e+07,838,63000.000000,2309.611517,10.0577,23.407,job.377697.out
16,3,16,44,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,847,66000.000000,2210.433645,11.1276,25.897,job.377698.out
16,3,16,48,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,760,72000.000000,2226.344544,10.8145,25.1683,job.377700.out
16,3,16,46,20,20,20,23,10,10,10,MACRO,OLD,12345,1320,3072,7.065600e+07,782,69000.000000,2247.068742,10.5656,24.5889,job.377699.out
16,3,16,50,20,20,20,25,10,10,10,MACRO,OLD,12345,1320,3072,7.680000e+07,744,75000.000000,2222.881590,11.0451,25.705,job.377701.out
16,3,16,52,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,698,78000.000000,2189.235478,10.9423,25.4658,job.377702.out
16,3,16,54,20,20,20,27,10,10,10,MACRO,OLD,12345,1320,3072,8.294400e+07,684,81000.000000,2221.064602,10.9757,25.5435,job.377703.out
16,3,16,56,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,618,84000.000000,2195.278842,10.4047,24.2146,job.377704.out
16,3,16,58,20,20,20,29,10,10,10,MACRO,OLD,12345,1320,3072,8.908800e+07,610,87000.000000,2174.909650,10.7364,24.9866,job.377705.out
16,3,16,60,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,598,90000.000000,2243.825058,10.5538,24.5615,job.377706.out
16,3,16,62,20,20,20,31,10,10,10,MACRO,OLD,12345,1320,3072,9.523200e+07,569,93000.000000,2215.767929,10.5081,24.4552,job.377707.out
16,3,16,64,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,533,96000.000000,2153.879910,10.4527,24.3263,job.377708.out
16,3,16,66,20,20,20,33,10,10,10,MACRO,OLD,12345,1320,3072,1.013760e+08,502,99000.000000,2134.630519,10.244,23.8405,job.377709.out
16,3,16,68,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,487,102000.000000,2190.437272,9.97817,23.2219,job.377710.out
16,3,16,70,20,20,20,35,10,10,10,MACRO,OLD,12345,1320,3072,1.075200e+08,458,105000.000000,2144.482315,9.867,22.9632,job.377711.out
16,3,16,72,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,458,108000.000000,2206.504865,9.86364,22.9554,job.377712.out
16,3,16,74,20,20,20,37,10,10,10,MACRO,OLD,12345,1320,3072,1.136640e+08,395,111000.000000,2027.006034,9.51739,22.1496,job.377713.out
16,3,16,76,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,393,114000.000000,2107.007754,9.35586,21.7736,job.377714.out
16,3,16,78,20,20,20,39,10,10,10,MACRO,OLD,12345,1320,3072,1.198080e+08,383,117000.000000,2104.519317,9.36881,21.8038,job.377715.out
16,3,16,80,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,357,120000.000000,2072.599533,9.09467,21.1658,job.377716.out
16,3,16,82,20,20,20,41,10,10,10,MACRO,OLD,12345,1320,3072,1.259520e+08,350,123000.000000,2154.830473,8.79048,20.4579,job.377717.out
16,3,16,84,20,20,20,42,10,10,10,MACRO,OLD,12345,1320,3072,1.290240e+08,350,126000.000000,2152.162750,9.01605,20.9828,job.377718.out
16,3,16,86,20,20,20,43,10,10,10,MACRO,OLD,12345,1320,3072,1.320960e+08,323,129000.000000,2038.637368,8.99301,20.9292,job.377719.out
16,3,16,88,20,20,20,44,10,10,10,MACRO,OLD,12345,1320,3072,1.351680e+08,309,132000.000000,2119.256286,8.4684,19.7083,job.377720.out
16,3,16,90,20,20,20,45,10,10,10,MACRO,OLD,12345,1320,3072,1.382400e+08,313,135000.000000,2180.176047,8.52784,19.8466,job.377721.out
16,3,16,92,20,20,20,46,10,10,10,MACRO,OLD,12345,1320,3072,1.413120e+08,289,138000.000000,2081.822951,8.42919,19.617,job.377722.out
16,3,16,94,20,20,20,47,10,10,10,MACRO,OLD,12345,1320,3072,1.443840e+08,299,141000.000000,2134.419163,8.69087,20.226,job.377723.out
