omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,VECT,OLD,12345,1320,3072,6.451200e+07,884,63000.000000,2099.947571,11.6691,27.1572,job.381294.out
16,3,16,44,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,868,66000.000000,2118.776586,11.8968,27.6872,job.381295.out
16,3,16,46,20,20,20,23,10,10,10,VECT,OLD,12345,1320,3072,7.065600e+07,857,69000.000000,2195.154048,11.8527,27.5845,job.381296.out
16,3,16,48,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,845,72000.000000,2249.953671,11.8978,27.6895,job.381297.out
16,3,16,50,20,20,20,25,10,10,10,VECT,OLD,12345,1320,3072,7.680000e+07,728,75000.000000,2107.819937,11.3976,26.5252,job.381298.out
16,3,16,52,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,742,78000.000000,2093.538037,12.1638,28.3085,job.381299.out
16,3,16,54,20,20,20,27,10,10,10,VECT,OLD,12345,1320,3072,8.294400e+07,694,81000.000000,2078.849394,11.898,27.6899,job.381300.out
16,3,16,58,20,20,20,29,10,10,10,VECT,OLD,12345,1320,3072,8.908800e+07,688,87000.000000,2220.476735,11.8608,27.6033,job.381302.out
16,3,16,56,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,704,84000.000000,2179.471015,11.9386,27.7844,job.381301.out
16,3,16,60,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,639,90000.000000,2176.206452,11.6278,27.061,job.381303.out
16,3,16,62,20,20,20,31,10,10,10,VECT,OLD,12345,1320,3072,9.523200e+07,621,93000.000000,2129.435427,11.9334,27.7722,job.381304.out
16,3,16,64,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,592,96000.000000,2384.935384,10.485,24.4015,job.381305.out
16,3,16,66,20,20,20,33,10,10,10,VECT,OLD,12345,1320,3072,1.013760e+08,559,99000.000000,2184.797082,11.1452,25.938,job.381306.out
16,3,16,70,20,20,20,35,10,10,10,VECT,OLD,12345,1320,3072,1.075200e+08,510,105000.000000,2200.599140,10.7071,24.9183,job.381308.out
16,3,16,68,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,546,102000.000000,2221.540644,11.0304,25.6707,job.381307.out
16,3,16,72,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,507,108000.000000,2174.977361,11.0772,25.7796,job.381309.out
16,3,16,74,20,20,20,37,10,10,10,VECT,OLD,12345,1320,3072,1.136640e+08,452,111000.000000,2126.178207,10.3828,24.1636,job.381310.out
16,3,16,80,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,405,120000.000000,2077.465799,10.2933,23.9553,job.381313.out
16,3,16,78,20,20,20,39,10,10,10,VECT,OLD,12345,1320,3072,1.198080e+08,433,117000.000000,2404.597970,9.27009,21.574,job.381312.out
16,3,16,76,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,451,114000.000000,2191.686396,10.3218,24.0217,job.381311.out
16,3,16,82,20,20,20,41,10,10,10,VECT,OLD,12345,1320,3072,1.259520e+08,383,123000.000000,2264.444876,9.15366,21.3031,job.381314.out
16,3,16,84,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,372,126000.000000,2061.774892,10.0029,23.2794,job.381315.out
16,3,16,86,20,20,20,43,10,10,10,VECT,OLD,12345,1320,3072,1.320960e+08,375,129000.000000,2202.622985,9.66348,22.4896,job.381316.out
16,3,16,88,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,334,132000.000000,2115.500281,9.1698,21.3406,job.381317.out
16,3,16,90,20,20,20,45,10,10,10,VECT,OLD,12345,1320,3072,1.382400e+08,321,135000.000000,2027.903871,9.40252,21.8822,job.381318.out
16,3,16,92,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,347,138000.000000,2237.925898,9.4149,21.911,job.381319.out
16,3,16,94,20,20,20,47,10,10,10,VECT,OLD,12345,1320,3072,1.443840e+08,311,141000.000000,2022.660655,9.53914,22.2002,job.381320.out
16,3,16,96,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,305,144000.000000,2062.528815,9.36947,21.8053,job.381321.out
16,3,16,100,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,266,150000.000000,2047.344381,8.57501,19.9564,job.381323.out
16,3,16,98,20,20,20,49,10,10,10,VECT,OLD,12345,1320,3072,1.505280e+08,308,147000.000000,2195.546393,9.07357,21.1167,job.381322.out
16,3,16,102,20,20,20,51,10,10,10,VECT,OLD,12345,1320,3072,1.566720e+08,271,153000.000000,2085.201788,8.74914,20.3616,job.381324.out
16,3,16,104,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,252,156000.000000,2050.628447,8.43511,19.6308,job.381325.out
16,3,16,108,20,20,20,54,10,10,10,VECT,OLD,12345,1320,3072,1.658880e+08,244,162000.000000,2020.990031,8.60584,20.0281,job.381327.out
16,3,16,106,20,20,20,53,10,10,10,VECT,OLD,12345,1320,3072,1.628160e+08,271,159000.000000,2155.219121,8.79686,20.4727,job.381326.out
16,3,16,110,20,20,20,55,10,10,10,VECT,OLD,12345,1320,3072,1.689600e+08,243,165000.000000,2037.499574,8.65855,20.1508,job.381328.out
16,3,16,112,20,20,20,56,10,10,10,VECT,OLD,12345,1320,3072,1.720320e+08,245,168000.000000,2061.482823,8.78513,20.4454,job.381329.out
16,3,16,114,20,20,20,57,10,10,10,VECT,OLD,12345,1320,3072,1.751040e+08,239,171000.000000,2078.809309,8.65032,20.1316,job.381330.out
16,3,16,116,20,20,20,58,10,10,10,VECT,OLD,12345,1320,3072,1.781760e+08,229,174000.000000,2031.139933,8.63172,20.0884,job.381331.out
16,3,16,118,20,20,20,59,10,10,10,VECT,OLD,12345,1320,3072,1.812480e+08,240,177000.000000,2179.479391,8.57599,19.9587,job.381332.out
16,3,16,120,20,20,20,60,10,10,10,VECT,OLD,12345,1320,3072,1.843200e+08,234,180000.000000,2179.623962,8.50275,19.7882,job.381333.out
16,3,16,122,20,20,20,61,10,10,10,VECT,OLD,12345,1320,3072,1.873920e+08,218,183000.000000,2065.295716,8.4992,19.78,job.381334.out
16,3,16,124,20,20,20,62,10,10,10,VECT,OLD,12345,1320,3072,1.904640e+08,213,186000.000000,2034.526298,8.56805,19.9402,job.381335.out
16,3,16,126,20,20,20,63,10,10,10,VECT,OLD,12345,1320,3072,1.935360e+08,221,189000.000000,2255.894445,8.14682,18.9599,job.381336.out
16,3,16,128,20,20,20,64,10,10,10,VECT,OLD,12345,1320,3072,1.966080e+08,202,192000.000000,2127.321070,8.02181,18.6689,job.381337.out
16,3,16,130,20,20,20,65,10,10,10,VECT,OLD,12345,1320,3072,1.996800e+08,279,195000.000000,2651.167921,9.0293,21.0137,job.381338.out
16,3,16,132,20,20,20,66,10,10,10,VECT,OLD,12345,1320,3072,2.027520e+08,215,198000.000000,2224.229575,8.42125,19.5986,job.381339.out
16,3,16,134,20,20,20,67,10,10,10,VECT,OLD,12345,1320,3072,2.058240e+08,217,201000.000000,2149.426839,8.92865,20.7794,job.381340.out
16,3,16,136,20,20,20,68,10,10,10,VECT,OLD,12345,1320,3072,2.088960e+08,229,204000.000000,2466.282899,8.33442,19.3965,job.381341.out
16,3,16,138,20,20,20,69,10,10,10,VECT,OLD,12345,1320,3072,2.119680e+08,213,207000.000000,2180.270755,8.898,20.7081,job.381342.out
16,3,16,140,20,20,20,70,10,10,10,VECT,OLD,12345,1320,3072,2.150400e+08,193,210000.000000,2090.689780,8.52982,19.8512,job.381343.out
16,3,16,144,20,20,20,72,10,10,10,VECT,OLD,12345,1320,3072,2.211840e+08,244,216000.000000,2411.942154,9.61456,22.3757,job.381345.out
16,3,16,142,20,20,20,71,10,10,10,VECT,OLD,12345,1320,3072,2.181120e+08,215,213000.000000,2255.060651,8.93537,20.795,job.381344.out
16,3,16,146,20,20,20,73,10,10,10,VECT,OLD,12345,1320,3072,2.242560e+08,228,219000.000000,2373.400499,9.25679,21.5431,job.381346.out
16,3,16,150,20,20,20,75,10,10,10,VECT,OLD,12345,1320,3072,2.304000e+08,230,225000.000000,2507.548699,9.08058,21.133,job.381348.out
16,3,16,148,20,20,20,74,10,10,10,VECT,OLD,12345,1320,3072,2.273280e+08,194,222000.000000,2085.570649,9.0862,21.1461,job.381347.out
16,3,16,152,20,20,20,76,10,10,10,VECT,OLD,12345,1320,3072,2.334720e+08,218,228000.000000,2266.764170,9.64801,22.4535,job.381349.out
16,3,16,154,20,20,20,77,10,10,10,VECT,OLD,12345,1320,3072,2.365440e+08,215,231000.000000,2275.265484,9.60442,22.3521,job.381350.out
16,3,16,156,20,20,20,78,10,10,10,VECT,OLD,12345,1320,3072,2.396160e+08,181,234000.000000,2268.504571,8.215,19.1185,job.381351.out
16,3,16,158,20,20,20,79,10,10,10,VECT,OLD,12345,1320,3072,2.426880e+08,213,237000.000000,2347.171820,9.46315,22.0233,job.381352.out
16,3,16,160,20,20,20,80,10,10,10,VECT,OLD,12345,1320,3072,2.457600e+08,194,240000.000000,2185.192636,9.3751,21.8184,job.381353.out
16,3,16,162,20,20,20,81,10,10,10,VECT,OLD,12345,1320,3072,2.488320e+08,203,243000.000000,2243.607360,9.67405,22.5141,job.381354.out
16,3,16,164,20,20,20,82,10,10,10,VECT,OLD,12345,1320,3072,2.519040e+08,200,246000.000000,2348.305201,9.21856,21.4541,job.381355.out
16,3,16,166,20,20,20,83,10,10,10,VECT,OLD,12345,1320,3072,2.549760e+08,192,249000.000000,2174.435555,9.67401,22.5141,job.381356.out
16,3,16,168,20,20,20,84,10,10,10,VECT,OLD,12345,1320,3072,2.580480e+08,197,252000.000000,2330.542543,9.37265,21.8127,job.381357.out
16,3,16,170,20,20,20,85,10,10,10,VECT,OLD,12345,1320,3072,2.611200e+08,178,255000.000000,2184.518792,9.14233,21.2767,job.381358.out
16,3,16,172,20,20,20,86,10,10,10,VECT,OLD,12345,1320,3072,2.641920e+08,202,258000.000000,2390.184228,9.59384,22.3275,job.381359.out
16,3,16,174,20,20,20,87,10,10,10,VECT,OLD,12345,1320,3072,2.672640e+08,187,261000.000000,2218.281476,9.68095,22.5302,job.381360.out
16,3,16,176,20,20,20,88,10,10,10,VECT,OLD,12345,1320,3072,2.703360e+08,169,264000.000000,2078.175919,9.44628,21.9841,job.381361.out
16,3,16,178,20,20,20,89,10,10,10,VECT,OLD,12345,1320,3072,2.734080e+08,172,267000.000000,2141.010465,9.43786,21.9645,job.381362.out
16,3,16,182,20,20,20,91,10,10,10,VECT,OLD,12345,1320,3072,2.795520e+08,186,273000.000000,2275.236098,9.81978,22.8533,job.381364.out
16,3,16,180,20,20,20,90,10,10,10,VECT,OLD,12345,1320,3072,2.764800e+08,174,270000.000000,2144.243438,9.64032,22.4357,job.381363.out
16,3,16,184,20,20,20,92,10,10,10,VECT,OLD,12345,1320,3072,2.826240e+08,170,276000.000000,2309.444582,8.93929,20.8042,job.381365.out
16,3,16,186,20,20,20,93,10,10,10,VECT,OLD,12345,1320,3072,2.856960e+08,162,279000.000000,2169.107680,9.16834,21.3372,job.381366.out
16,3,16,188,20,20,20,94,10,10,10,VECT,OLD,12345,1320,3072,2.887680e+08,165,282000.000000,2196.533686,9.32069,21.6918,job.381367.out
16,3,16,190,20,20,20,95,10,10,10,VECT,OLD,12345,1320,3072,2.918400e+08,171,285000.000000,2204.146252,9.72866,22.6413,job.381368.out
16,3,16,192,20,20,20,96,10,10,10,VECT,OLD,12345,1320,3072,2.949120e+08,164,288000.000000,2407.259933,8.63309,20.0915,job.381369.out
16,3,16,194,20,20,20,97,10,10,10,VECT,OLD,12345,1320,3072,2.979840e+08,163,291000.000000,2164.244357,9.64333,22.4427,job.381370.out
16,3,16,196,20,20,20,98,10,10,10,VECT,OLD,12345,1320,3072,3.010560e+08,158,294000.000000,2164.819566,9.44138,21.9727,job.381371.out
16,3,16,198,20,20,20,99,10,10,10,VECT,OLD,12345,1320,3072,3.041280e+08,141,297000.000000,2191.593621,8.40753,19.5666,job.381372.out
16,3,16,202,20,20,20,101,10,10,10,VECT,OLD,12345,1320,3072,3.102720e+08,159,303000.000000,2217.634469,9.55878,22.2459,job.381374.out
16,3,16,200,20,20,20,100,10,10,10,VECT,OLD,12345,1320,3072,3.072000e+08,155,300000.000000,2252.360266,9.0838,21.1405,job.381373.out
16,3,16,204,20,20,20,102,10,10,10,VECT,OLD,12345,1320,3072,3.133440e+08,140,306000.000000,2035.695859,9.25954,21.5495,job.381375.out
16,3,16,206,20,20,20,103,10,10,10,VECT,OLD,12345,1320,3072,3.164160e+08,140,309000.000000,2044.546762,9.30984,21.6665,job.381376.out
16,3,16,210,20,20,20,105,10,10,10,VECT,OLD,12345,1320,3072,3.225600e+08,141,315000.000000,2087.724078,9.36072,21.7849,job.381378.out
16,3,16,208,20,20,20,104,10,10,10,VECT,OLD,12345,1320,3072,3.194880e+08,145,312000.000000,2168.782429,9.17824,21.3603,job.381377.out
16,3,16,212,20,20,20,106,10,10,10,VECT,OLD,12345,1320,3072,3.256320e+08,148,318000.000000,2171.766887,9.53517,22.1909,job.381379.out
16,3,16,214,20,20,20,107,10,10,10,VECT,OLD,12345,1320,3072,3.287040e+08,139,321000.000000,2173.547529,9.0324,21.0209,job.381380.out
16,3,16,216,20,20,20,108,10,10,10,VECT,OLD,12345,1320,3072,3.317760e+08,135,324000.000000,2077.966225,9.26175,21.5546,job.381381.out
16,3,16,218,20,20,20,109,10,10,10,VECT,OLD,12345,1320,3072,3.348480e+08,146,327000.000000,2252.708519,9.32499,21.7018,job.381382.out
16,3,16,220,20,20,20,110,10,10,10,VECT,OLD,12345,1320,3072,3.379200e+08,136,330000.000000,2110.149506,9.3582,21.7791,job.381383.out
16,3,16,222,20,20,20,111,10,10,10,VECT,OLD,12345,1320,3072,3.409920e+08,135,333000.000000,2204.810468,8.97138,20.8789,job.381384.out
16,3,16,224,20,20,20,112,10,10,10,VECT,OLD,12345,1320,3072,3.440640e+08,138,336000.000000,2184.940681,9.33752,21.7309,job.381385.out
16,3,16,228,20,20,20,114,10,10,10,VECT,OLD,12345,1320,3072,3.502080e+08,125,342000.000000,2036.428536,9.23676,21.4965,job.381387.out
16,3,16,226,20,20,20,113,10,10,10,VECT,OLD,12345,1320,3072,3.471360e+08,136,339000.000000,2175.022075,9.32669,21.7058,job.381386.out
16,3,16,230,20,20,20,115,10,10,10,VECT,OLD,12345,1320,3072,3.532800e+08,137,345000.000000,2221.072126,9.36332,21.791,job.381388.out
16,3,16,232,20,20,20,116,10,10,10,VECT,OLD,12345,1320,3072,3.563520e+08,139,348000.000000,2272.819937,9.36444,21.7936,job.381389.out
16,3,16,234,20,20,20,117,10,10,10,VECT,OLD,12345,1320,3072,3.594240e+08,134,351000.000000,2404.139913,8.60805,20.0333,job.381390.out
16,3,16,236,20,20,20,118,10,10,10,VECT,OLD,12345,1320,3072,3.624960e+08,117,354000.000000,2017.664074,9.03219,21.0204,job.381391.out
16,3,16,238,20,20,20,119,10,10,10,VECT,OLD,12345,1320,3072,3.655680e+08,127,357000.000000,2209.323161,9.02953,21.0142,job.381392.out
16,3,16,240,20,20,20,120,10,10,10,VECT,OLD,12345,1320,3072,3.686400e+08,128,360000.000000,2181.180611,9.29552,21.6332,job.381393.out
16,3,16,242,20,20,20,121,10,10,10,VECT,OLD,12345,1320,3072,3.717120e+08,128,363000.000000,2316.363631,8.82597,20.5404,job.381394.out
