omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,VECT,OLD,12345,1320,3072,6.451200e+07,1698,63000.000000,2197.290295,21.4212,49.8529,job.387325.out
16,3,32,88,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,1598,66000.000000,2073.145176,22.3843,52.0944,job.387326.out
16,3,32,92,20,20,20,23,10,10,10,VECT,OLD,12345,1320,3072,7.065600e+07,1643,69000.000000,2186.009157,22.8185,53.1049,job.387327.out
16,3,32,96,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,1632,72000.000000,2239.876363,23.0824,53.7191,job.387328.out
16,3,32,100,20,20,20,25,10,10,10,VECT,OLD,12345,1320,3072,7.680000e+07,1498,75000.000000,2063.948047,23.9512,55.7409,job.387329.out
16,3,32,104,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,1592,78000.000000,2207.731206,24.7482,57.5959,job.387330.out
16,3,32,108,20,20,20,27,10,10,10,VECT,OLD,12345,1320,3072,8.294400e+07,1480,81000.000000,2209.007059,23.8782,55.5712,job.387331.out
16,3,32,112,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,1490,84000.000000,2147.577901,25.643,59.6783,job.387332.out
16,3,32,116,20,20,20,29,10,10,10,VECT,OLD,12345,1320,3072,8.908800e+07,1372,87000.000000,2059.951712,25.4958,59.3357,job.387333.out
16,3,32,120,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,1378,90000.000000,2092.973804,26.0724,60.6775,job.387334.out
16,3,32,128,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,1301,96000.000000,2139.597464,25.6844,59.7746,job.387336.out
16,3,32,124,20,20,20,31,10,10,10,VECT,OLD,12345,1320,3072,9.523200e+07,1378,93000.000000,2216.715365,25.4375,59.2001,job.387335.out
16,3,32,132,20,20,20,33,10,10,10,VECT,OLD,12345,1320,3072,1.013760e+08,1224,99000.000000,2151.925294,24.7766,57.662,job.387337.out
16,3,32,136,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,1156,102000.000000,2084.667886,24.8871,57.919,job.387338.out
16,3,32,140,20,20,20,35,10,10,10,VECT,OLD,12345,1320,3072,1.075200e+08,1062,105000.000000,2159.131299,22.7241,52.8853,job.387339.out
16,3,32,144,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,1098,108000.000000,2126.050698,24.5417,57.1153,job.387340.out
16,3,32,148,20,20,20,37,10,10,10,VECT,OLD,12345,1320,3072,1.136640e+08,1329,111000.000000,2309.893667,28.1002,65.3967,job.387341.out
16,3,32,152,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,1155,114000.000000,2429.275552,23.8486,55.5022,job.387342.out
16,3,32,160,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,1164,120000.000000,2697.801570,22.7812,53.0181,job.387344.out
16,3,32,156,20,20,20,39,10,10,10,VECT,OLD,12345,1320,3072,1.198080e+08,1147,117000.000000,2721.354913,21.6979,50.4968,job.387343.out
16,3,32,164,20,20,20,41,10,10,10,VECT,OLD,12345,1320,3072,1.259520e+08,1108,123000.000000,2576.361244,23.2751,54.1674,job.387345.out
16,3,32,168,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,1073,126000.000000,2473.577298,24.049,55.9686,job.387346.out
16,3,32,172,20,20,20,43,10,10,10,VECT,OLD,12345,1320,3072,1.320960e+08,756,129000.000000,2046.144538,20.9714,48.8062,job.387347.out
16,3,32,176,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,1022,132000.000000,2198.294228,27.0017,62.8404,job.387348.out
16,3,32,180,20,20,20,45,10,10,10,VECT,OLD,12345,1320,3072,1.382400e+08,968,135000.000000,2236.775006,25.7063,59.8256,job.387349.out
16,3,32,184,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,868,138000.000000,2005.649721,26.2782,61.1566,job.387350.out
16,3,32,188,20,20,20,47,10,10,10,VECT,OLD,12345,1320,3072,1.443840e+08,900,141000.000000,2272.298799,24.5725,57.1868,job.387351.out
16,3,32,192,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,878,144000.000000,2220.653912,25.0512,58.301,job.387352.out
16,3,32,196,20,20,20,49,10,10,10,VECT,OLD,12345,1320,3072,1.505280e+08,830,147000.000000,2226.084497,24.1161,56.1247,job.387353.out
16,3,32,200,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,780,150000.000000,2139.498549,24.0617,55.9982,job.387354.out
16,3,32,204,20,20,20,51,10,10,10,VECT,OLD,12345,1320,3072,1.566720e+08,762,153000.000000,2201.007185,23.3065,54.2407,job.387355.out
16,3,32,208,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,767,156000.000000,2213.443620,23.7851,55.3543,job.387356.out
16,3,32,212,20,20,20,53,10,10,10,VECT,OLD,12345,1320,3072,1.628160e+08,712,159000.000000,2187.286222,22.7732,52.9995,job.387357.out
16,3,32,216,20,20,20,54,10,10,10,VECT,OLD,12345,1320,3072,1.658880e+08,714,162000.000000,2229.118296,22.8314,53.1349,job.387358.out
16,3,32,220,20,20,20,55,10,10,10,VECT,OLD,12345,1320,3072,1.689600e+08,676,165000.000000,2192.086815,22.3885,52.1042,job.387359.out
16,3,32,224,20,20,20,56,10,10,10,VECT,OLD,12345,1320,3072,1.720320e+08,646,168000.000000,2124.843243,22.4733,52.3016,job.387360.out
16,3,32,228,20,20,20,57,10,10,10,VECT,OLD,12345,1320,3072,1.751040e+08,630,171000.000000,2139.497577,22.1553,51.5614,job.387361.out
16,3,32,232,20,20,20,58,10,10,10,VECT,OLD,12345,1320,3072,1.781760e+08,628,174000.000000,2202.014695,21.8344,50.8146,job.387362.out
16,3,32,236,20,20,20,59,10,10,10,VECT,OLD,12345,1320,3072,1.812480e+08,579,177000.000000,2089.562206,21.5799,50.2223,job.387363.out
16,3,32,240,20,20,20,60,10,10,10,VECT,OLD,12345,1320,3072,1.843200e+08,586,180000.000000,2196.792671,21.1268,49.1678,job.387364.out
16,3,32,244,20,20,20,61,10,10,10,VECT,OLD,12345,1320,3072,1.873920e+08,513,183000.000000,2142.776296,19.2772,44.8633,job.387365.out
16,3,32,248,20,20,20,62,10,10,10,VECT,OLD,12345,1320,3072,1.904640e+08,567,186000.000000,2208.022041,21.0158,48.9094,job.387366.out
16,3,32,252,20,20,20,63,10,10,10,VECT,OLD,12345,1320,3072,1.935360e+08,533,189000.000000,2309.823425,19.1895,44.6591,job.387367.out
16,3,32,256,20,20,20,64,10,10,10,VECT,OLD,12345,1320,3072,1.966080e+08,507,192000.000000,2055.273849,20.8397,48.4997,job.387368.out
16,3,32,260,20,20,20,65,10,10,10,VECT,OLD,12345,1320,3072,1.996800e+08,528,195000.000000,2259.231843,20.0521,46.6668,job.387369.out
16,3,32,264,20,20,20,66,10,10,10,VECT,OLD,12345,1320,3072,2.027520e+08,512,198000.000000,2212.934505,20.1567,46.9101,job.387370.out
16,3,32,268,20,20,20,67,10,10,10,VECT,OLD,12345,1320,3072,2.058240e+08,469,201000.000000,2124.092495,19.5276,45.446,job.387371.out
16,3,32,272,20,20,20,68,10,10,10,VECT,OLD,12345,1320,3072,2.088960e+08,469,204000.000000,2109.649849,19.9547,46.44,job.387372.out
16,3,32,276,20,20,20,69,10,10,10,VECT,OLD,12345,1320,3072,2.119680e+08,457,207000.000000,2146.025740,19.3956,45.139,job.387373.out
16,3,32,280,20,20,20,70,10,10,10,VECT,OLD,12345,1320,3072,2.150400e+08,458,210000.000000,2141.061059,19.7655,45.9998,job.387374.out
16,3,32,284,20,20,20,71,10,10,10,VECT,OLD,12345,1320,3072,2.181120e+08,437,213000.000000,2135.949522,19.1744,44.6242,job.387375.out
16,3,32,288,20,20,20,72,10,10,10,VECT,OLD,12345,1320,3072,2.211840e+08,424,216000.000000,2192.618152,18.3785,42.7717,job.387376.out
