omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,MACRO,NEW,12345,1320,3072,6.451200e+07,1303,63000.000000,2286.466791,15.7969,36.7638,job.384671.out
16,3,32,88,20,20,20,22,10,10,10,MACRO,NEW,12345,1320,3072,6.758400e+07,1234,66000.000000,2182.570455,16.4189,38.2112,job.384672.out
16,3,32,92,20,20,20,23,10,10,10,MACRO,NEW,12345,1320,3072,7.065600e+07,1215,69000.000000,2325.765634,15.8603,36.9113,job.384673.out
16,3,32,96,20,20,20,24,10,10,10,MACRO,NEW,12345,1320,3072,7.372800e+07,1117,72000.000000,2071.839432,17.0798,39.7493,job.384674.out
16,3,32,100,20,20,20,25,10,10,10,MACRO,NEW,12345,1320,3072,7.680000e+07,1135,75000.000000,2784.809499,13.4498,31.3012,job.384675.out
16,3,32,104,20,20,20,26,10,10,10,MACRO,NEW,12345,1320,3072,7.987200e+07,874,78000.000000,2694.777939,11.131,25.905,job.384676.out
16,3,32,108,20,20,20,27,10,10,10,MACRO,NEW,12345,1320,3072,8.294400e+07,1025,81000.000000,2268.749212,16.1018,37.4733,job.384677.out
16,3,32,112,20,20,20,28,10,10,10,MACRO,NEW,12345,1320,3072,8.601600e+07,995,84000.000000,2142.432268,17.1652,39.948,job.384678.out
16,3,32,116,20,20,20,29,10,10,10,MACRO,NEW,12345,1320,3072,8.908800e+07,965,87000.000000,2254.712818,16.3835,38.129,job.384679.out
16,3,32,120,20,20,20,30,10,10,10,MACRO,NEW,12345,1320,3072,9.216000e+07,899,90000.000000,2142.020717,16.62,38.6793,job.384680.out
16,3,32,124,20,20,20,31,10,10,10,MACRO,NEW,12345,1320,3072,9.523200e+07,928,93000.000000,2305.124092,16.4736,38.3386,job.384681.out
16,3,32,128,20,20,20,32,10,10,10,MACRO,NEW,12345,1320,3072,9.830400e+07,913,96000.000000,3474.826654,11.0984,25.8291,job.384682.out
16,3,32,132,20,20,20,33,10,10,10,MACRO,NEW,12345,1320,3072,1.013760e+08,860,99000.000000,2160.395009,17.3402,40.3553,job.384683.out
16,3,32,136,20,20,20,34,10,10,10,MACRO,NEW,12345,1320,3072,1.044480e+08,879,102000.000000,2311.754555,17.0648,39.7143,job.384684.out
16,3,32,140,20,20,20,35,10,10,10,MACRO,NEW,12345,1320,3072,1.075200e+08,863,105000.000000,2388.956204,16.6895,38.8411,job.384685.out
16,3,32,144,20,20,20,36,10,10,10,MACRO,NEW,12345,1320,3072,1.105920e+08,814,108000.000000,2150.560506,17.9866,41.8597,job.384686.out
16,3,32,148,20,20,20,37,10,10,10,MACRO,NEW,12345,1320,3072,1.136640e+08,827,111000.000000,2281.668342,17.7023,41.198,job.384687.out
16,3,32,152,20,20,20,38,10,10,10,MACRO,NEW,12345,1320,3072,1.167360e+08,758,114000.000000,2106.340373,18.0509,42.0093,job.384688.out
