omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,64,168,20,20,20,21,10,10,10,AVX2,OLD,12345,1320,3072,6.451200e+07,1480,63000.000000,2026.409445,20.2455,47.1167,job.394566.out
16,3,64,176,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1643,66000.000000,2298.285786,20.7601,48.3145,job.394567.out
16,3,64,184,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,1463,69000.000000,2284.242650,19.4448,45.2534,job.394568.out
16,3,64,192,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,1530,72000.000000,2540.995978,19.0754,44.3936,job.394569.out
16,3,64,200,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,7.680000e+07,1564,75000.000000,2263.899647,22.7978,53.0568,job.394570.out
16,3,64,208,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,1466,78000.000000,2477.387063,20.3089,47.2645,job.394571.out
16,3,64,216,20,20,20,27,10,10,10,AVX2,OLD,12345,1320,3072,8.294400e+07,1328,81000.000000,2043.163667,23.165,53.9113,job.394572.out
16,3,64,224,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,1523,84000.000000,2530.049439,22.2486,51.7786,job.394573.out
16,3,64,232,20,20,20,29,10,10,10,AVX2,OLD,12345,1320,3072,8.908800e+07,1340,87000.000000,2151.587000,23.8406,55.4837,job.394574.out
16,3,64,240,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1265,90000.000000,2351.166352,21.306,49.5849,job.394575.out
16,3,64,248,20,20,20,31,10,10,10,AVX2,OLD,12345,1320,3072,9.523200e+07,1315,93000.000000,2309.525416,23.2991,54.2233,job.394576.out
16,3,64,256,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1179,96000.000000,2065.928812,24.1058,56.1009,job.394577.out
16,3,64,264,20,20,20,33,10,10,10,AVX2,OLD,12345,1320,3072,1.013760e+08,1147,99000.000000,2079.463175,24.027,55.9174,job.394578.out
16,3,64,272,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,1032,102000.000000,2069.668746,22.3785,52.081,job.394579.out
16,3,64,280,20,20,20,35,10,10,10,AVX2,OLD,12345,1320,3072,1.075200e+08,1124,105000.000000,2221.319570,23.3775,54.4057,job.394580.out
16,3,64,288,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,1084,108000.000000,2186.601137,23.5579,54.8256,job.394581.out
16,3,64,296,20,20,20,37,10,10,10,AVX2,OLD,12345,1320,3072,1.136640e+08,1011,111000.000000,2140.165390,23.0717,53.6941,job.394582.out
16,3,64,304,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,977,114000.000000,2356.371113,20.7974,48.4012,job.394583.out
16,3,64,312,20,20,20,39,10,10,10,AVX2,OLD,12345,1320,3072,1.198080e+08,909,117000.000000,2228.080209,21.0025,48.8786,job.394584.out
16,3,64,320,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,940,120000.000000,2157.219413,23.0074,53.5445,job.394585.out
16,3,64,328,20,20,20,41,10,10,10,AVX2,OLD,12345,1320,3072,1.259520e+08,1167,123000.000000,2526.827766,24.995,58.1702,job.394586.out
16,3,64,336,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,945,126000.000000,2535.129005,20.6659,48.0953,job.394587.out
16,3,64,344,20,20,20,43,10,10,10,AVX2,OLD,12345,1320,3072,1.320960e+08,1089,129000.000000,2562.297658,24.1235,56.142,job.394588.out
16,3,64,352,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,1063,132000.000000,2384.233217,25.8947,60.2641,job.394589.out
16,3,64,360,20,20,20,45,10,10,10,AVX2,OLD,12345,1320,3072,1.382400e+08,1002,135000.000000,2504.389274,23.7658,55.3095,job.394590.out
16,3,64,368,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,967,138000.000000,2247.551457,26.1245,60.7989,job.394591.out
16,3,64,376,20,20,20,47,10,10,10,AVX2,OLD,12345,1320,3072,1.443840e+08,940,141000.000000,2517.063705,23.1689,53.9204,job.394592.out
16,3,64,384,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,871,144000.000000,2134.447455,25.8552,60.1721,job.394593.out
16,3,64,392,20,20,20,49,10,10,10,AVX2,OLD,12345,1320,3072,1.505280e+08,821,147000.000000,3217.579308,16.5038,38.4088,job.394594.out
