omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,64,168,20,20,20,21,10,10,10,MACRO,OLD,12345,1320,3072,6.451200e+07,728,63000.000000,2158.815777,9.34779,21.7549,job.392605.out
16,3,64,176,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,700,66000.000000,2147.208358,9.46718,22.0327,job.392606.out
16,3,64,184,20,20,20,23,10,10,10,MACRO,OLD,12345,1320,3072,7.065600e+07,678,69000.000000,2182.884036,9.42976,21.9456,job.392607.out
16,3,64,192,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,670,72000.000000,2216.429339,9.57648,22.2871,job.392608.out
16,3,64,200,20,20,20,25,10,10,10,MACRO,OLD,12345,1320,3072,7.680000e+07,627,75000.000000,2141.944917,9.65991,22.4813,job.392609.out
16,3,64,208,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,610,78000.000000,2188.527099,9.56589,22.2624,job.392610.out
16,3,64,216,20,20,20,27,10,10,10,MACRO,OLD,12345,1320,3072,8.294400e+07,597,81000.000000,2418.167429,8.79884,20.4773,job.392611.out
16,3,64,224,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,569,84000.000000,2141.954575,9.81825,22.8497,job.392612.out
16,3,64,232,20,20,20,29,10,10,10,MACRO,OLD,12345,1320,3072,8.908800e+07,540,87000.000000,2297.909491,8.99565,20.9353,job.392613.out
16,3,64,240,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,529,90000.000000,2215.855623,9.45387,22.0017,job.392614.out
16,3,64,248,20,20,20,31,10,10,10,MACRO,OLD,12345,1320,3072,9.523200e+07,527,93000.000000,2278.316645,9.46525,22.0282,job.392615.out
16,3,64,256,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,495,96000.000000,2199.945995,9.50423,22.1189,job.392616.out
