omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,Dphi-Reps,Dphi_KB,Dphi_msec,Dphi_GFLOPS,Dphi_BAND,Fused_Reps,Fused_KB,Fused_msec,Fused_GFLOPS,Fused_BAND,Job_Output
13,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,15905,6144.000000,2065.110107,20.8207,48.4553,17669,6144.000000,2196.637939,21.7449,50.6063,job.na.out
14,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,16229,6144.000000,2093.724121,20.9544,48.7667,18139,6144.000000,2195.945068,22.3304,51.9688,job.na.out
15,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,16476,6144.000000,2047.046021,21.7585,50.6379,18782,6144.000000,2196.375000,23.1174,53.8005,job.na.out
16,3,2,8,8,8,8,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,16851,6144.000000,2046.053955,22.2645,51.8155,19371,6144.000000,2196.126953,23.8451,55.494,job.na.out
13,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,14545,7680.000000,2075.112061,23.6857,55.1231,16284,7680.000000,2196.352051,25.0538,58.3069,job.na.out
14,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,14908,7680.000000,2053.185059,24.5361,57.1022,16819,7680.000000,2197.177979,25.8672,60.1999,job.na.out
15,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,15357,7680.000000,2087.888916,24.8549,57.8442,17174,7680.000000,2197.437988,26.41,61.4633,job.na.out
16,3,2,10,8,8,8,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,15662,7680.000000,2069.995117,25.5677,59.503,17620,7680.000000,2197.773926,27.0917,63.0499,job.na.out
13,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,13067,9216.000000,2036.385010,26.0202,60.5562,14971,9216.000000,2198.351074,27.6152,64.2682,job.na.out
14,3,2,12,8,8,8,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,13749,9216.000000,2072.283936,26.904,62.613,15442,9216.000000,2197.138916,28.4998,66.3267,job.na.out
