omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,Dphi-Reps,Dphi_KB,Dphi_msec,Dphi_GFLOPS,Dphi_BAND,Fused_Reps,Fused_KB,Fused_msec,Fused_GFLOPS,Fused_BAND,Job_Output
26,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,23160,6144.000000,2190.218994,28.5861,66.5276,26114,6144.000000,2151.677979,32.8095,76.3567,job.na.out
27,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,22809,6144.000000,2160.800049,28.5362,66.4114,27033,6144.000000,2277.016113,32.0946,74.6929,job.na.out
28,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,22701,6144.000000,2189.561035,28.028,65.2288,25594,6144.000000,2196.279053,31.5032,73.3165,job.na.out
29,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,23787,6144.000000,2165.266113,29.6983,69.1162,27334,6144.000000,2194.397949,33.6738,78.368,job.na.out
30,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,23108,6144.000000,2174.854004,28.7234,66.8472,27344,6144.000000,2198.642090,33.6211,78.2454,job.na.out
31,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,23243,6144.000000,2194.449951,28.6332,66.6373,26270,6144.000000,2201.366943,32.2605,75.0791,job.na.out
32,3,2,8,8,8,8,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,23316,6144.000000,2205.779053,28.5756,66.5033,26346,6144.000000,2200.166992,32.3715,75.3373,job.na.out
26,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,21342,7680.000000,2186.000000,32.9913,76.7797,23585,7680.000000,2229.346924,35.7497,83.1992,job.na.out
27,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,22189,7680.000000,2189.068115,34.2525,79.7149,22189,7680.000000,2010.766968,37.2898,86.7835,job.na.out
28,3,2,10,8,8,8,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,22198,7680.000000,2185.147949,34.3279,79.8903,24710,7680.000000,2271.827881,36.7546,85.5379,job.na.out
